iter	Passed	Remaining
410	4220	6048
411	4231	6039
412	4242	6030
413	4253	6020
414	4265	6012
415	4275	6001
416	4285	5992
417	4296	5982
418	4308	5973
419	4318	5964
420	4329	5954
421	4340	5945
422	4351	5935
423	4360	5923
424	4368	5910
425	4378	5899
426	4388	5889
427	4396	5875
428	4406	5865
429	4417	5855
430	4427	5844
431	4437	5834
432	4448	5824
433	4458	5814
434	4469	5804
435	4478	5793
436	4490	5784
437	4500	5774
438	4509	5762
439	4519	5751
440	4528	5740
441	4537	5728
442	4547	5717
443	4557	5707
444	4569	5698
445	4580	5689
446	4590	5679
447	4600	5668
448	4610	5658
449	4620	5647
450	4630	5636
451	4641	5627
452	4651	5616
453	4661	5606
454	4672	5596
455	4681	5585
456	4692	5575
457	4702	5564
458	4710	5551
459	4720	5541
460	4729	5530
461	4739	5519
462	4748	5506
463	4759	5497
464	4769	5487
465	4778	5476
466	4788	5465
467	4798	5455
468	4809	5445
469	4818	5433
470	4829	5423
471	4839	5413
472	4849	5403
473	4860	5393
474	4871	5384
475	4881	5373
476	4892	5363
477	4903	5355
478	4914	5345
479	4924	5335
480	4935	5325
481	4946	5315
482	4957	5306
483	4968	5296
484	4979	5287
485	4988	5276
486	4999	5266
487	5008	5254
488	5017	5243
489	5027	5232
490	5035	5220
491	5046	5210
492	5057	5201
493	5066	5189
494	5077	5180
495	5089	5171
496	5099	5160
497	5108	5149
498	5118	5139
499	5129	5129
500	5140	5119
501	5151	5110
502	5161	5100
503	5172	5090
504	5183	5080
505	5193	5070
506	5204	5061
507	5213	5049
508	5221	5037
509	5233	5028
510	5246	5020
511	5258	5011
512	5269	5002
513	5279	4991
514	5288	4980
515	5299	4971
516	5309	4960
517	5319	4949
518	5329	4939
519	5339	4928
520	5348	4917
521	5361	4909
522	5372	4899
523	5382	4889
524	5394	4880
525	5404	4870
526	5415	4860
527	5426	4851
528	5438	4842
529	5446	4830
530	5456	4819
531	5467	4809
532	5477	4799
533	5487	4788
534	5497	4778
535	5507	4767
536	5516	4756
537	5527	4746
538	5537	4736
539	5548	4726
540	5559	4716
541	5570	4706
542	5580	4696
543	5591	4686
544	5599	4674
545	5609	4664
546	5621	4655
547	5631	4645
548	5642	4634
549	5653	4625
550	5664	4615
551	5673	4604
552	5683	4593
553	5694	4584
554	5703	4572
555	5712	4561
556	5722	4551
557	5733	4541
558	5742	4530
559	5751	4519
560	5762	4509
561	5770	4497
562	5781	4487
563	5790	4476
564	5801	4466
565	5812	4457
566	5821	4445
567	5831	4434
568	5842	4425
569	5853	4415
570	5865	4406
571	5875	4396
572	5886	4386
573	5894	4375
574	5905	4365
575	5916	4355
576	5926	4344
577	5936	4334
578	5946	4323
579	5955	4312
580	5964	4301
581	5976	4292
582	5984	4280
583	5997	4271
584	6007	4261
585	6018	4252
586	6029	4242
587	6037	4230
588	6047	4220
589	6060	4211
590	6071	4201
591	6080	4190
592	6092	4181
593	6104	4172
594	6115	4162
595	6125	4152
596	6136	4142
597	6148	4133
598	6159	4123
599	6170	4113
600	6182	4104
601	6193	4094
602	6204	4084
603	6215	4075
604	6226	4065
605	6236	4054
606	6246	4044
607	6257	4034
608	6266	4023
609	6276	4012
610	6286	4002
611	6296	3992
612	6307	3982
613	6316	3970
614	6327	3960
615	6338	3951
616	6348	3940
617	6360	3931
618	6373	3923
619	6384	3913
620	6398	3905
621	6407	3894
622	6417	3883
623	6427	3872
624	6437	3862
625	6445	3850
626	6457	3841
627	6467	3831
628	6478	3820
629	6488	3810
630	6497	3799
631	6508	3789
632	6519	3779
633	6529	3769
634	6538	3758
635	6549	3748
636	6559	3738
637	6569	3727
638	6580	3717
639	6592	3708
