,0
u24_Q21,15.017472229625737
u24_F9_delta6,3.318330231741191
u24_T6_delta,2.7159159513381166
u24_T6_delta6,2.4836894385101527
u24_F26,1.7610772817934632
u24_F2,1.7382457079339655
avt_F28,1.5641598185322567
u24_P13_lag3,1.4729573887794714
avt_P21,1.4639782629587603
u24_F9_rstd6,1.4126979990088715
lims_T98,1.3858858317597011
u24_T11_delta,1.307833245062988
u24_P13_delta,1.2721532862204405
u24_T5_delta6,1.1193172594011345
u24_P8_delta6,0.9669761473656994
u24_T6_rstd6,0.9421801914181848
lims_TNK,0.9320207164148306
lims_density_15,0.7800641853572442
u24_T18,0.763003746114782
u24_T5,0.7448429852192555
u24_F25,0.7337709988636926
u24_T11_delta6,0.6928237666889622
u24_T6_rmax36,0.6636407124123066
avt_F41,0.6411836242736199
u24_T11_rmax36,0.6032168438378007
avt_P52,0.5618744475053209
avt_P44_rmax36,0.5056103241767934
avt_F54,0.4845751818467364
u24_F9_rmin12,0.48442956986964997
u24_T_spread,0.4776286465153789
